Player,Stage 1: FPS,Stage 2
Naz Reid,13.25,45.16129032258064
Nick Richards,22.150000000000002,38.70967741935484
Josh Richardson,23.525,41.935483870967744
Austin Rivers,1.075,6.451612903225806
Duncan Robinson,9.775,32.25806451612903
Mitchell Robinson,21.5,29.03225806451613
Jeremiah Robinson-Earl,14.525,45.16129032258064
Isaiah Roby,10.6,25.806451612903224
David Roddy,12.650000000000002,22.58064516129032
Ryan Rollins,0.6749999999999999,12.903225806451612
Derrick Rose,16.375,48.38709677419355
Terrence Ross,20.675000000000004,29.03225806451613
Terry Rozier,49.0,54.83870967741935
D'Angelo Russell,34.324999999999996,41.935483870967744
Matt Ryan,7.199999999999999,29.03225806451613
Domantas Sabonis,37.12500000000001,35.483870967741936
Dario Šarić,0.0,12.903225806451612
Jordan Schakel,3.5,48.38709677419355
Admiral Schofield,4.0,29.03225806451613
Dereon Seabron,0.0,0.0
Alperen Şengün,32.35,35.483870967741936
Collin Sexton,20.0,41.935483870967744
Landry Shamet,12.25,38.70967741935484
Day'Ron Sharpe,14.2,25.806451612903224
Shaedon Sharpe,15.200000000000001,25.806451612903224
Pascal Siakam,51.9,61.29032258064516
Ben Simmons,27.724999999999994,19.35483870967742
Marko Simonovic,0.0,16.129032258064516
Anfernee Simons,31.9,48.38709677419355
Jericho Sims,0.625,3.225806451612903
Marcus Smart,25.750000000000004,35.483870967741936
Dennis Smith Jr.,32.425,32.25806451612903
Dru Smith,5.25,25.806451612903224
Ish Smith,1.9000000000000004,6.451612903225806
Jabari Smith Jr.,25.000000000000004,32.25806451612903
Jalen Smith,26.450000000000003,29.03225806451613
Jeremy Sochan,18.725,12.903225806451612
Jaden Springer,4.75,51.61290322580645
Lamar Stevens,0.625,9.67741935483871
Isaiah Stewart,30.05,32.25806451612903
Max Strus,25.0,25.806451612903224
Jalen Suggs,21.125,41.935483870967744
Edmond Sumner,8.5,29.03225806451613
Cole Swider,2.75,32.25806451612903
Jae'Sean Tate,20.125,29.03225806451613
Jayson Tatum,49.175,64.51612903225806
Terry Taylor,9.575000000000001,25.806451612903224
Garrett Temple,5.875,32.25806451612903
Dalen Terry,0.7999999999999998,22.58064516129032
Cam Thomas,1.75,6.451612903225806
