Player,Stage 1: FPS,Stage 2
Brandon Knight,11.200000000000001,35.483870967741936
Nathan Knight,8.075000000000001,22.58064516129032
Kevin Knox,5.9750000000000005,25.806451612903224
John Konchar,14.75,29.03225806451613
Furkan Korkmaz,15.1,22.58064516129032
Luke Kornet,6.075000000000001,16.129032258064516
Vit Krejci,15.149999999999999,22.58064516129032
Arnoldas Kulboka,0.0,12.903225806451612
Jonathan Kuminga,15.975000000000001,22.58064516129032
Kyle Kuzma,35.62500000000001,32.25806451612903
Anthony Lamb,2.125,19.35483870967742
Jeremy Lamb,15.05,29.03225806451613
Jock Landale,10.3,22.58064516129032
Romeo Langford,9.725,19.35483870967742
Zach LaVine,38.800000000000004,58.06451612903226
Jake Layman,4.7749999999999995,16.129032258064516
Damion Lee,14.499999999999998,25.806451612903224
Saben Lee,15.249999999999998,29.03225806451613
Alex Len,14.274999999999999,16.129032258064516
Caris LeVert,30.425,35.483870967741936
Kira Lewis Jr.,11.6,22.58064516129032
Scottie Lewis,2.25,12.903225806451612
Damian Lillard,42.225,58.06451612903226
Nassir Little,21.85,19.35483870967742
Isaiah Livers,14.3,35.483870967741936
Kevon Looney,20.125,19.35483870967742
Brook Lopez,22.174999999999997,38.70967741935484
Robin Lopez,14.375,12.903225806451612
Didi Louzada,8.175,29.03225806451613
Kevin Love,27.700000000000003,51.61290322580645
Kyle Lowry,32.875,38.70967741935484
Gabriel Lundberg,11.35,25.806451612903224
Timothé Luwawu-Cabarrot,8.600000000000001,35.483870967741936
Trey Lyles,20.225,35.483870967741936
Théo Maledon,15.049999999999999,22.58064516129032
Sandro Mamukelashvili,7.900000000000001,25.806451612903224
Terance Mann,23.150000000000002,29.03225806451613
Tre Mann,18.474999999999998,29.03225806451613
Boban Marjanović,6.425000000000001,29.03225806451613
Lauri Markkanen,26.925,41.935483870967744
Naji Marshall,11.799999999999997,29.03225806451613
Caleb Martin,18.700000000000003,32.25806451612903
Cody Martin,19.849999999999998,25.806451612903224
Kelan Martin,10.5,12.903225806451612
Kenyon Martin Jr.,17.3,16.129032258064516
Garrison Mathews,18.475,35.483870967741936
Dakota Mathias,2.225,25.806451612903224
Wesley Matthews,10.275,25.806451612903224
Tyrese Maxey,30.449999999999996,45.16129032258064
Skylar Mays,5.4750000000000005,22.58064516129032
Miles McBride,6.025,16.129032258064516
Mac McClung,8.125,25.806451612903224
CJ McCollum,38.575,45.16129032258064
T.J. McConnell,22.625,25.806451612903224
Jaden McDaniels,19.099999999999998,19.35483870967742
Jalen McDaniels,13.525,22.58064516129032
Doug McDermott,17.575000000000003,35.483870967741936
JaVale McGee,20.625,41.935483870967744
Cameron McGriff,13.399999999999999,29.03225806451613
Rodney McGruder,10.8,25.806451612903224
Alfonzo McKinnie,6.9750000000000005,12.903225806451612
JaQuori McLaughlin,0.75,16.129032258064516
Jordan McLaughlin,12.124999999999998,32.25806451612903
Ben McLemore,15.899999999999999,32.25806451612903
De'Anthony Melton,24.475,38.70967741935484
Sam Merrill,7.199999999999999,19.35483870967742
Chimezie Metu,20.2,32.25806451612903
Khris Middleton,37.75,51.61290322580645
C.J. Miles,0.0,0.0
Patty Mills,19.775,35.483870967741936
Paul Millsap,10.424999999999999,16.129032258064516
Shake Milton,16.799999999999997,16.129032258064516
Davion Mitchell,22.45,22.58064516129032
Donovan Mitchell,42.74999999999999,58.06451612903226
Evan Mobley,33.324999999999996,32.25806451612903
Malik Monk,25.15,35.483870967741936
Greg Monroe,15.700000000000003,29.03225806451613
Moses Moody,7.7250000000000005,29.03225806451613
Xavier Moon,13.099999999999998,25.806451612903224
Matt Mooney,1.5,22.58064516129032
Ja Morant,46.824999999999996,58.06451612903226
Juwan Morgan,6.0,29.03225806451613
Jaylen Morris,2.475,16.129032258064516
Marcus Morris,25.95,45.16129032258064
Markieff Morris,13.75,19.35483870967742
Monte Morris,25.1,35.483870967741936
Emmanuel Mudiay,5.25,32.25806451612903
Mychal Mulder,7.15,25.806451612903224
Ade Murkey,0.0,0.0
Trey Murphy III,10.700000000000001,32.25806451612903
Dejounte Murray,49.275000000000006,58.06451612903226
Mike Muscala,15.15,41.935483870967744
Svi Mykhailiuk,9.049999999999999,25.806451612903224
Abdel Nader,7.075,16.129032258064516
Larry Nance Jr.,18.900000000000002,22.58064516129032
RJ Nembhard Jr.,3.1750000000000003,19.35483870967742
Aaron Nesmith,7.525,16.129032258064516
Raul Neto,15.825,22.58064516129032
Malik Newman,10.25,48.38709677419355
Georges Niang,16.375,35.483870967741936
Daishen Nix,8.299999999999999,22.58064516129032
Zeke Nnaji,13.249999999999998,32.25806451612903
Nerlens Noel,16.150000000000002,29.03225806451613
Jaylen Nowell,15.55,35.483870967741936
Frank Ntilikina,8.95,22.58064516129032
Jusuf Nurkić,35.32500000000001,38.70967741935484
David Nwaba,12.325000000000001,29.03225806451613
Jordan Nwora,15.500000000000002,19.35483870967742
Royce O'Neale,20.4,25.806451612903224
Semi Ojeleye,7.775,22.58064516129032
Chuma Okeke,21.85,29.03225806451613
Josh Okogie,6.500000000000001,16.129032258064516
Onyeka Okongwu,20.575,29.03225806451613
Isaac Okoro,17.4,25.806451612903224
KZ Okpala,8.35,19.35483870967742
Victor Oladipo,22.624999999999996,41.935483870967744
Cameron Oliver,19.75,22.58064516129032
Kelly Olynyk,21.15,38.70967741935484
Eugene Omoruyi,4.95,35.483870967741936
Miye Oni,1.25,12.903225806451612
Cedi Osman,18.9,32.25806451612903
Daniel Oturu,6.525,25.806451612903224
Kelly Oubre Jr.,25.25,38.70967741935484
Jaysean Paige,2.25,12.903225806451612
Trayvon Palmer,2.0,0.0
Kevin Pangos,4.375000000000001,22.58064516129032
Jabari Parker,8.825,38.70967741935484
Eric Paschall,9.65,32.25806451612903
Chris Paul,40.1,45.16129032258064
Cameron Payne,23.600000000000005,29.03225806451613
Elfrid Payton,9.05,9.67741935483871
Gary Payton II,16.224999999999998,22.58064516129032
Norvel Pelle,4.75,16.129032258064516
Reggie Perry,19.474999999999998,22.58064516129032
Jamorko Pickett,8.975000000000001,16.129032258064516
Theo Pinson,6.124999999999999,25.806451612903224
Mason Plumlee,23.075,19.35483870967742
Jakob Poeltl,33.325,35.483870967741936
Aleksej Pokusevski,19.349999999999998,16.129032258064516
Yves Pons,3.4000000000000004,19.35483870967742
Jordan Poole,31.1,48.38709677419355
Kevin Porter Jr.,33.10000000000001,38.70967741935484
Michael Porter Jr.,23.5,22.58064516129032
Otto Porter Jr.,21.124999999999996,35.483870967741936
Bobby Portis,30.825,38.70967741935484
Kristaps Porziņģis,38.325,61.29032258064516
Micah Potter,8.799999999999999,22.58064516129032
Dwight Powell,18.325000000000003,29.03225806451613
Myles Powell,2.375,12.903225806451612
Norman Powell,29.4,48.38709677419355
Joshua Primo,12.725000000000001,16.129032258064516
Taurean Prince,14.125,32.25806451612903
Payton Pritchard,12.974999999999998,41.935483870967744
Trevelin Queen,8.200000000000001,38.70967741935484
Neemias Queta,7.750000000000001,22.58064516129032
Immanuel Quickley,22.2,41.935483870967744
Jahmi'us Ramsey,5.075000000000001,19.35483870967742
Julius Randle,41.675,45.16129032258064
Austin Reaves,15.700000000000001,32.25806451612903
Cam Reddish,16.874999999999996,32.25806451612903
Davon Reed,10.575000000000001,32.25806451612903
Paul Reed,9.2,29.03225806451613
Naz Reid,17.125,32.25806451612903
Nick Richards,6.525,19.35483870967742
Josh Richardson,19.3,32.25806451612903
Austin Rivers,12.074999999999998,19.35483870967742
Duncan Robinson,19.0,32.25806451612903
Justin Robinson,6.85,6.451612903225806
Mitchell Robinson,24.800000000000004,35.483870967741936
Jeremiah Robinson-Earl,18.000000000000004,22.58064516129032
Isaiah Roby,21.700000000000003,29.03225806451613
Rajon Rondo,16.45,25.806451612903224
Derrick Rose,24.3,45.16129032258064
Terrence Ross,17.15,29.03225806451613
Terry Rozier,35.475,54.83870967741935
Ricky Rubio,30.874999999999996,48.38709677419355
D'Angelo Russell,35.575,54.83870967741935
Matt Ryan,5.5,29.03225806451613
Domantas Sabonis,43.375,45.16129032258064
Olivier Sarr,15.4,25.806451612903224
Tomáš Satoranský,12.324999999999998,19.35483870967742
Jordan Schakel,4.3999999999999995,29.03225806451613
Admiral Schofield,8.174999999999999,22.58064516129032
Dennis Schröder,25.874999999999996,35.483870967741936
Tre Scott,6.25,35.483870967741936
Jay Scrubb,5.175000000000002,19.35483870967742
Wayne Selden,2.6750000000000003,25.806451612903224
Alperen Şengün,22.975,32.25806451612903
Collin Sexton,24.175,25.806451612903224
Landry Shamet,14.55,29.03225806451613
Day'Ron Sharpe,14.4,25.806451612903224
Pascal Siakam,44.375,45.16129032258064
Chris Silva,7.9499999999999975,25.806451612903224
Marko Simonovic,3.625,29.03225806451613
Anfernee Simons,28.15,48.38709677419355
Zavier Simpson,32.375,22.58064516129032
Jericho Sims,9.424999999999999,19.35483870967742
Deividas Sirvydis,6.7,19.35483870967742
Javonte Smart,7.25,9.67741935483871
Marcus Smart,29.450000000000003,38.70967741935484
Dennis Smith Jr.,16.400000000000002,22.58064516129032
Ish Smith,16.549999999999997,19.35483870967742
Jalen Smith,19.650000000000002,32.25806451612903
Xavier Sneed,1.675,12.903225806451612
Tony Snell,7.825,29.03225806451613
Jaden Springer,4.0,29.03225806451613
Cassius Stanley,10.475,22.58064516129032
Nik Stauskas,3.45,35.483870967741936
Lance Stephenson,17.900000000000002,25.806451612903224
Lamar Stevens,11.799999999999999,16.129032258064516
Isaiah Stewart,23.275000000000002,19.35483870967742
Max Strus,18.6,35.483870967741936
Jalen Suggs,25.05,41.935483870967744
Craig Sword,4.9,16.129032258064516
Keifer Sykes,11.1,16.129032258064516
Jae'Sean Tate,25.05,19.35483870967742
Jayson Tatum,46.75,54.83870967741935
Terry Taylor,18.95,25.806451612903224
Garrett Temple,12.5,16.129032258064516
Emanuel Terry,7.05,19.35483870967742
Tyrell Terry,1.0,19.35483870967742
Jon Teske,1.9249999999999998,22.58064516129032
Daniel Theis,17.725,19.35483870967742
Brodric Thomas,4.4,25.806451612903224
Cam Thomas,14.45,25.806451612903224
Isaiah Thomas,13.575000000000001,25.806451612903224
Matt Thomas,7.325000000000001,29.03225806451613
Klay Thompson,32.625,51.61290322580645
Tristan Thompson,14.475000000000001,22.58064516129032
JT Thor,5.475,16.129032258064516
Matisse Thybulle,15.875,25.806451612903224
Killian Tillie,8.525,19.35483870967742
Xavier Tillman Sr.,12.55,19.35483870967742
Isaiah Todd,4.4,22.58064516129032
Obi Toppin,16.825000000000003,29.03225806451613
Juan Toscano-Anderson,11.2,16.129032258064516
Karl-Anthony Towns,45.900000000000006,54.83870967741935
Gary Trent Jr.,29.675,54.83870967741935
P.J. Tucker,19.725,22.58064516129032
Rayjon Tucker,11.1,45.16129032258064
Myles Turner,30.375,35.483870967741936
Jonas Valančiūnas,37.949999999999996,45.16129032258064
Denzel Valentine,6.65,22.58064516129032
Jarred Vanderbilt,22.65,25.806451612903224
Fred VanVleet,40.800000000000004,58.06451612903226
Devin Vassell,24.474999999999998,38.70967741935484
Gabe Vincent,18.125,29.03225806451613
Nikola Vučević,39.900000000000006,38.70967741935484
